index,negotiation_arrangement,name,billing_code_type,billing_code_type_version,billing_code,description,bundled_codes_billing_code_type,bundled_codes_billing_code_type_version,bundled_codes_billing_code,bundled_codes_description,covered_services_billing_code_type,covered_services_billing_code_type_version,covered_services_billing_code,covered_services_description,negotiated_rates_provider_groups_npi,negotiated_rates_provider_groups_tin_type,negotiated_rates_provider_groups_tin_value,negotiated_rates_negotiated_prices_negotiated_type,negotiated_rates_negotiated_prices_negotiated_rate,negotiated_rates_negotiated_prices_expiration_date,negotiated_rates_negotiated_prices_service_code,negotiated_rates_negotiated_prices_billing_class
205443,ffs,IMM ADMN SARSCOV2 30MCG/0.3ML TRIS-SUCROSE 2ND,CPT,2022,0052A,IMM ADMN SARSCOV2 30MCG/0.3ML TRIS-SUCROSE 2ND,,,,,,,,,1164654190,npi,1164654190,fee schedule,45.88,12/31/9999,11,professional
205725,ffs,IMM ADMN SARSCOV2 30MCG/0.3ML TRIS-SUCROSE 3RD,CPT,2022,0053A,IMM ADMN SARSCOV2 30MCG/0.3ML TRIS-SUCROSE 3RD,,,,,,,,,1013999093,ein,27-1293336,fee schedule,45.88,12/31/9999,11,professional
202303,ffs,CARD HRT TRNSPL 96 TARGET DNA SEQUENCES PLASMA,CPT,2022,0055U,CARD HRT TRNSPL 96 TARGET DNA SEQUENCES PLASMA,,,,,,,,,1659691020,ein,82-3315703,fee schedule,4736.05,12/31/9999,11,professional
209664,ffs,ONC MERKEL CELL CARC DETCJ ANTB SERUM REPRTD +/-,CPT,2022,0059U,ONC MERKEL CELL CARC DETCJ ANTB SERUM REPRTD +/-,,,,,,,,,1154602233,ein,04-2709501,fee schedule,274.52,12/31/9999,11,professional
201525,ffs,"ANES FOR PROCEDURES ON THE THORACIC SPINE AND CORD, VIA AN ANT",CPT,2022,626,"ANES FOR PROCEDURES ON THE THORACIC SPINE AND CORD, VIA AN ANT",,,,,,,,,1255317210,ein,04-3104075,fee schedule,1269.12,12/31/9999,11,professional
217326,ffs,IMM ADMN SARSCOV2 3MCG/0.2ML TRIS-SUCROSE 1ST,CPT,2022,0081A,IMM ADMN SARSCOV2 3MCG/0.2ML TRIS-SUCROSE 1ST,,,,,,,,,1811075781,npi,1811075781,fee schedule,45.88,12/31/9999,11,professional
220129,ffs,Narrative not found,CPT,2022,1092,Narrative not found,,,,,,,,,1336120047,ein,04-2126583,percentage,91.64,12/31/9999,22,institutional
211788,ffs,ANESA.4 CLOSED PROC. INVL SYSMPHYSIS PUBIS OR SACROILIAC JOINT,CPT,2022,1112,ANESA.4 CLOSED PROC. INVL SYSMPHYSIS PUBIS OR SACROILIAC JOINT,,,,,,,,,1336120047,ein,04-2126583,percentage,91.64,12/31/9999,22,institutional
224471,ffs,IMM ADMN SARSCOV2 25 MCG/0.25 ML 3RD DOSE,CPT,2022,0113A,IMM ADMN SARSCOV2 25 MCG/0.25 ML 3RD DOSE,,,,,,,,,1578521159,ein,04-3080484,fee schedule,45.88,12/31/9999,11,professional
229570,ffs,ONC B CLL LYMPHM MRNA GENE XPRSN PRFL 58 GEN ALG,CPT,2022,0120U,ONC B CLL LYMPHM MRNA GENE XPRSN PRFL 58 GEN ALG,,,,,,,,,1598725145,npi,1598725145,fee schedule,2133.68,12/31/9999,11,professional
224291,ffs,HEREDITARY COLON CA DO TRGT MRNA SEQ ALYS PANEL,CPT,2022,0130U,HEREDITARY COLON CA DO TRGT MRNA SEQ ALYS PANEL,,,,,,,,,1215999495,ein,22-2703314,fee schedule,730.34,12/31/9999,11,professional
222542,ffs,BYPASS GRAFT,CPT,2022,1654,BYPASS GRAFT,,,,,,,,,1902049406,ein,84-4973928,fee schedule,590.13,12/31/9999,11,professional
230334,ffs,"PLAN CODE 630,660,690,834 ONLY",CPT,2022,1967,"PLAN CODE 630,660,690,834 ONLY",,,,,,,,,1336120047,ein,04-2126583,percentage,91.64,12/31/9999,22,institutional
221759,ffs,ANESA.4 DIAG OR THERAPEUTIC NERVE BLOCKS OR INJECTION BY DIFF,CPT,2022,1991,ANESA.4 DIAG OR THERAPEUTIC NERVE BLOCKS OR INJECTION BY DIFF,,,,,,,,,1023094745,ein,04-3148395,fee schedule,395.68,12/31/9999,11,professional
221766,ffs,ANESA.4 DIAG OR THERAPEUTIC NERVE BLOCKS OR INJECTION BY DIFF,CPT,2022,1992,ANESA.4 DIAG OR THERAPEUTIC NERVE BLOCKS OR INJECTION BY DIFF,,,,,,,,,1508122987,ein,81-1807730,fee schedule,489.72,12/31/9999,11,professional
222059,ffs,ANTB SEV AQT RESPIR SYND CORONAVIRUS 2 TITER(S),CPT,2022,0224U,ANTB SEV AQT RESPIR SYND CORONAVIRUS 2 TITER(S),,,,,,,,,1629169636,npi,1629169636,fee schedule,43.17,12/31/9999,11,professional
231192,ffs,SUROGAT VIR NEUTRLZJ TST SARSCOV2 ELISA PLSM SRM,CPT,2022,0226U,SUROGAT VIR NEUTRLZJ TST SARSCOV2 ELISA PLSM SRM,,,,,,,,,1215999495,ein,22-2703314,fee schedule,63.42,12/31/9999,11,professional
230253,ffs,ONC PRST8 MULTIANAL MOLEC PRFL PHOTOMETRIC DETCJ,CPT,2022,0228U,ONC PRST8 MULTIANAL MOLEC PRFL PHOTOMETRIC DETCJ,,,,,,,,,1972594406,ein,04-3320571,fee schedule,961.51,12/31/9999,11,professional
230178,ffs,ONC PRST8 MULTIANAL MOLEC PRFL PHOTOMETRIC DETCJ,CPT,2022,0228U,ONC PRST8 MULTIANAL MOLEC PRFL PHOTOMETRIC DETCJ,,,,,,,,,1174545024,npi,1174545024,fee schedule,646,12/31/9999,11,professional
240930,ffs,"TRANSCATH RENAL SYMPATHETIC DENERVATION, PERC APP INCL ARTERIA",CPT,2022,0338T,"TRANSCATH RENAL SYMPATHETIC DENERVATION, PERC APP INCL ARTERIA",,,,,,,,,1740383793,npi,1740383793,fee schedule,1488.73,12/31/9999,11,professional
240983,ffs,"TRANSCATH RENAL SYMPATHETIC DENERVATION, PERC APP INCL ARTERIA",CPT,2022,0339T,"TRANSCATH RENAL SYMPATHETIC DENERVATION, PERC APP INCL ARTERIA",,,,,,,,,1407387632,npi,1407387632,fee schedule,1616.63,12/31/9999,11,professional
235012,ffs,HDR ELECTRONIC BRACHYTHERAPY SKIN SURFACE,CPT,2022,0394T,HDR ELECTRONIC BRACHYTHERAPY SKIN SURFACE,,,,,,,,,1598725145,npi,1598725145,fee schedule,198.54,12/31/9999,11,professional
241652,ffs,XTRNL PT ACT ECG W/O ATTN MNTR IN-OFFICE CONN,CPT,2022,0497T,XTRNL PT ACT ECG W/O ATTN MNTR IN-OFFICE CONN,,,,,,,,,1285990804,ein,04-2911067,fee schedule,496.7,12/31/9999,11,professional
232244,ffs,COR FFR CTA DATA REVIEW W/INTERPJ & FINAL REPORT,CPT,2022,0504T,COR FFR CTA DATA REVIEW W/INTERPJ & FINAL REPORT,,,,,,,,,1972594406,ein,04-3320571,fee schedule,106.84,12/31/9999,11,professional
238355,ffs,PRGRMG DEVICE EVAL WRLS CAR STIMULATOR IN PERSON,CPT,2022,0522T,PRGRMG DEVICE EVAL WRLS CAR STIMULATOR IN PERSON,,,,,,,,,1821186255,npi,1821186255,fee schedule,61.42,12/31/9999,11,professional
244722,ffs,CT BREAST W/3D RENDERING UNI WITHOUT CONTRAST,CPT,2022,0633T,CT BREAST W/3D RENDERING UNI WITHOUT CONTRAST,,,,,,,,,1609884824,npi,1609884824,fee schedule,335.41,12/31/9999,11,professional
244893,ffs,CT BREAST W/3D RENDERING UNI WITHOUT CONTRAST,CPT,2022,0633T,CT BREAST W/3D RENDERING UNI WITHOUT CONTRAST,,,,,,,,,1972594406,ein,04-3320571,fee schedule,438.87,12/31/9999,11,professional
242208,ffs,CT BREAST W/3D RENDERING BI WITH CONTRAST,CPT,2022,0637T,CT BREAST W/3D RENDERING BI WITH CONTRAST,,,,,,,,,1013999093,ein,27-1293336,fee schedule,465.88,12/31/9999,11,professional
245826,ffs,CT BRST W/3D RENDERING BI WO CNTRST FLWD CNTRST,CPT,2022,0638T,CT BRST W/3D RENDERING BI WO CNTRST FLWD CNTRST,,,,,,,,,1659691020,ein,82-3315703,fee schedule,801.17,12/31/9999,11,professional
249147,ffs,LAPS INSJ NEW/RPLCMT LEAD PERM ISDSS EA ADL LEAD,CPT,2022,0676T,LAPS INSJ NEW/RPLCMT LEAD PERM ISDSS EA ADL LEAD,,,,,,,,,1164654190,npi,1164654190,fee schedule,408.45,12/31/9999,11,professional
250231,ffs,PERQ SFT TISS LOC DEVICE PLMT 1ST LES W/GDNCE,CPT,2022,10035,PERQ SFT TISS LOC DEVICE PLMT 1ST LES W/GDNCE,,,,,,,,,1184677965,npi,1184677965,fee schedule,492.69,12/31/9999,11,professional
253939,ffs,"DEBRIDEMENT OF SKIN, SUBCUTANEOUS TISSUE, MUSCLE AND FASCIA FO",CPT,2022,11004,"DEBRIDEMENT OF SKIN, SUBCUTANEOUS TISSUE, MUSCLE AND FASCIA FO",,,,,,,,,1962757914,ein,04-2888373,fee schedule,684.26,12/31/9999,11,professional
254269,ffs,"DEBRIDEMENT OF SKIN, SUBCUTANEOUS TISSUE, MUSCLE AND FASCIA FO",CPT,2022,11005,"DEBRIDEMENT OF SKIN, SUBCUTANEOUS TISSUE, MUSCLE AND FASCIA FO",,,,,,,,,1326120833,npi,1326120833,fee schedule,892.05,12/31/9999,11,professional
254434,ffs,"DEBRIDEMENT OF SKIN, SUBCUTANEOUS TISSUE, MUSCLE AND FASCIA FO",CPT,2022,11006,"DEBRIDEMENT OF SKIN, SUBCUTANEOUS TISSUE, MUSCLE AND FASCIA FO",,,,,,,,,1134348287,ein,04-3466314,fee schedule,1694.84,12/31/9999,11,professional
252533,ffs,DEBRIDE INCL REM OF FOR MATERIAL AT THE SITE OF AN OPEN FRACTU,CPT,2022,11011,DEBRIDE INCL REM OF FOR MATERIAL AT THE SITE OF AN OPEN FRACTU,,,,,,,,,1811973316,ein,04-3320571,fee schedule,621.34,12/31/9999,11,professional
252769,ffs,DEBRIDE INCL REM OF FOR MATERIAL AT THE SITE OF AN OPEN FRACTU,CPT,2022,11012,DEBRIDE INCL REM OF FOR MATERIAL AT THE SITE OF AN OPEN FRACTU,,,,,,,,,1952612046,ein,26-4823153,fee schedule,1406.39,12/31/9999,11,professional
254952,ffs,DEBRIDEMENT; MUSCLE AND/OR FASCIA; FIRST 20 SQ CM OR LESS,CPT,2022,11043,DEBRIDEMENT; MUSCLE AND/OR FASCIA; FIRST 20 SQ CM OR LESS,,,,,,,,,1437148145,npi,1437148145,fee schedule,286.06,12/31/9999,11,professional
253137,ffs,DEBRIDEMENT BONE EA ADDL 20 SQ CM/<,CPT,2022,11047,DEBRIDEMENT BONE EA ADDL 20 SQ CM/<,,,,,,,,,1659691020,ein,82-3315703,fee schedule,246.88,12/31/9999,11,professional
258773,ffs,PUNCH BIOPSY OF SKIN; EACH SEPARATE/ADDL LESION,CPT,2022,11105,PUNCH BIOPSY OF SKIN; EACH SEPARATE/ADDL LESION,,,,,,,,,1659691020,ein,04-2743894,fee schedule,129.42,12/31/9999,11,professional
260661,ffs,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,TRUNK,ARMS",CPT,2022,11300,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,TRUNK,ARMS",,,,,,,,,1518128750,ein,43-1987409,fee schedule,655.67,12/31/9999,11,professional
260524,ffs,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,TRUNK,ARMS",CPT,2022,11300,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,TRUNK,ARMS",,,,,,,,,1972594406,ein,04-3320571,fee schedule,195.5,12/31/9999,11,professional
260491,ffs,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,TRUNK,ARMS",CPT,2022,11300,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,TRUNK,ARMS",,,,,,,,,1134109564,ein,20-2826299,fee schedule,156.42,12/31/9999,11,professional
260447,ffs,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,TRUNK,ARMS",CPT,2022,11300,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,TRUNK,ARMS",,,,,,,,,1174545024,npi,1174545024,fee schedule,131.35,12/31/9999,11,professional
260838,ffs,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,TRUNK,ARMS",CPT,2022,11301,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,TRUNK,ARMS",,,,,,,,,1396006219,ein,04-2103881,fee schedule,237.71,12/31/9999,11,professional
270658,ffs,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,SCALP,NECK",CPT,2022,11305,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,SCALP,NECK",,,,,,,,,1316076334,npi,1316076334,fee schedule,116.22,12/31/9999,11,professional
270836,ffs,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,SCALP,NECK",CPT,2022,11305,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,SCALP,NECK",,,,,,,,,1578521159,ein,04-3080484,fee schedule,214.35,12/31/9999,11,professional
271061,ffs,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,SCALP,NECK",CPT,2022,11306,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,SCALP,NECK",,,,,,,,,1588930820,ein,04-2103881,fee schedule,238.55,12/31/9999,11,professional
271324,ffs,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,SCALP,NECK",CPT,2022,11307,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,SCALP,NECK",,,,,,,,,1841506599,ein,32-0367841,fee schedule,234.74,12/31/9999,11,professional
269043,ffs,"SHAVING OF EPIDERMAL OR DERMAL LESION,FACE,EARS,EYELIDS,NOSE,L",CPT,2022,11310,"SHAVING OF EPIDERMAL OR DERMAL LESION,FACE,EARS,EYELIDS,NOSE,L",,,,,,,,,1700349362,npi,1700349362,fee schedule,126.66,12/31/9999,11,professional
269516,ffs,"SHAVING OF EPIDERMAL OR DERMAL LESION,FACE,EARS,EYELIDS,NOSE,L",CPT,2022,11311,"SHAVING OF EPIDERMAL OR DERMAL LESION,FACE,EARS,EYELIDS,NOSE,L",,,,,,,,,1063842151,ein,04-2807148,fee schedule,311.5,12/31/9999,11,professional
269637,ffs,"SHAVING OF EPIDERMAL OR DERMAL LESION,FACE,EARS,EYELIDS,NOSE,L",CPT,2022,11312,"SHAVING OF EPIDERMAL OR DERMAL LESION,FACE,EARS,EYELIDS,NOSE,L",,,,,,,,,1801987151,ein,04-3531690,fee schedule,197.21,12/31/9999,11,professional
269624,ffs,"SHAVING OF EPIDERMAL OR DERMAL LESION,FACE,EARS,EYELIDS,NOSE,L",CPT,2022,11312,"SHAVING OF EPIDERMAL OR DERMAL LESION,FACE,EARS,EYELIDS,NOSE,L",,,,,,,,,1376697987,ein,04-2680769,fee schedule,197.21,12/31/9999,11,professional
269979,ffs,"SHAVING OF EPIDERMAL OR DERMAL LESION,FACE,EARS,EYELIDS,NOSE,L",CPT,2022,11313,"SHAVING OF EPIDERMAL OR DERMAL LESION,FACE,EARS,EYELIDS,NOSE,L",,,,,,,,,1316005697,ein,04-2472266,fee schedule,314.18,12/31/9999,11,professional
267629,ffs,"EXCISION, BENIGN LESION MRGN XCP SK TG T/A/L 2.1-3.0 CM",CPT,2022,11403,"EXCISION, BENIGN LESION MRGN XCP SK TG T/A/L 2.1-3.0 CM",,,,,,,,,1144375635,npi,1144375635,fee schedule,210.29,12/31/9999,11,professional
264949,ffs,"EXCIS, BENIGN LESION; DIAMETER OVER 4.0 CM",CPT,2022,11426,"EXCIS, BENIGN LESION; DIAMETER OVER 4.0 CM",,,,,,,,,1831275593,npi,1831275593,fee schedule,408,12/31/9999,11,professional
262288,ffs,"EXC OF SKIN AND SUBCUT TISSUE FOR HYDRADENITIS, INGUINAL; PRIM",CPT,2022,11462,"EXC OF SKIN AND SUBCUT TISSUE FOR HYDRADENITIS, INGUINAL; PRIM",,,,,,,,,1558396515,ein,04-2911067,fee schedule,1020.06,12/31/9999,11,professional
261933,ffs,"EXC OF SKIN AND SUBCUT TISS FOR HYDRADEN, WITH OTHER CLOSURE",CPT,2022,11471,"EXC OF SKIN AND SUBCUT TISS FOR HYDRADEN, WITH OTHER CLOSURE",,,,,,,,,1174545024,npi,1174545024,fee schedule,687.91,12/31/9999,11,professional
274754,ffs,"EXCISION MALIG.LESIONS,TRUNK,ARMS,LEGS-UP TO 0.5 CM",CPT,2022,11600,"EXCISION MALIG.LESIONS,TRUNK,ARMS,LEGS-UP TO 0.5 CM",,,,,,,,,1184677965,npi,1184677965,fee schedule,250.01,12/31/9999,11,professional
278218,ffs,"EXCISION, MALIGNANT LESION, OVER 4.0 CM",CPT,2022,11626,"EXCISION, MALIGNANT LESION, OVER 4.0 CM",,,,,,,,,1073617353,ein,04-2611055,fee schedule,500.25,12/31/9999,11,professional
278650,ffs,"EXCISION, MALIGNANT LESION, OVER 4.0 CM",CPT,2022,11646,"EXCISION, MALIGNANT LESION, OVER 4.0 CM",,,,,,,,,1033345970,ein,04-3187299,fee schedule,955.04,12/31/9999,11,professional
286151,ffs,SIMP REP OF SUPERFIC WOUNDS SCALP/NECK/AXILLAE/ETC. UP TO 2.5,CPT,2022,12001,SIMP REP OF SUPERFIC WOUNDS SCALP/NECK/AXILLAE/ETC. UP TO 2.5,,,,,,,,,1659691020,ein,82-3315703,fee schedule,201.43,12/31/9999,11,professional
288642,ffs,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS, 5.0 TO 7.5 CM",CPT,2022,12014,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS, 5.0 TO 7.5 CM",,,,,,,,,1811969611,ein,04-2986097,fee schedule,882.25,12/31/9999,11,professional
284861,ffs,"REPAIR,INTERMEDIATE WOUNDS SCALP,AXILLAE,TRUNK,EXT;20.1CM-30.C",CPT,2022,12036,"REPAIR,INTERMEDIATE WOUNDS SCALP,AXILLAE,TRUNK,EXT;20.1CM-30.C",,,,,,,,,1659691020,ein,82-3315703,fee schedule,928.88,12/31/9999,11,professional
283357,ffs,"REP,INTERMEDIATE WOUNDS NECK,HANDS,FEET,EXT GENITALIA;2.6-7.5C",CPT,2022,12042,"REP,INTERMEDIATE WOUNDS NECK,HANDS,FEET,EXT GENITALIA;2.6-7.5C",,,,,,,,,1215999495,ein,22-2703314,fee schedule,574.31,12/31/9999,11,professional
299290,ffs,"REP,INTERMEDIATE WNDS NECK,HANDS,FEET,EXT GEN;7.6CM-12.5CM",CPT,2022,12044,"REP,INTERMEDIATE WNDS NECK,HANDS,FEET,EXT GEN;7.6CM-12.5CM",,,,,,,,,1235148628,npi,1235148628,fee schedule,481.22,12/31/9999,11,professional
298354,ffs,"REP,INTERMEDIATE WNDS NECK,HANDS,FEET,EXT GEN 12.6CM-20.0CM",CPT,2022,12045,"REP,INTERMEDIATE WNDS NECK,HANDS,FEET,EXT GEN 12.6CM-20.0CM",,,,,,,,,1972594406,ein,04-2807148,fee schedule,1073.01,12/31/9999,11,professional
298223,ffs,"REP,INTERMEDIATE WNDS FACE,EARS,EYELIDS,NOSE,LIPS OVER 30.0CM",CPT,2022,12057,"REP,INTERMEDIATE WNDS FACE,EARS,EYELIDS,NOSE,LIPS OVER 30.0CM",,,,,,,,,1164654190,npi,1164654190,fee schedule,649.96,12/31/9999,11,professional
291612,ffs,"COMPLEX SCALP,ARMS,&/OR LEGS:EACH ADD 5CM",CPT,2022,13122,"COMPLEX SCALP,ARMS,&/OR LEGS:EACH ADD 5CM",,,,,,,,,1891744124,npi,1891744124,fee schedule,133.26,12/31/9999,11,professional
303391,ffs,"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, 10 TO 30 CM",CPT,2022,14021,"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, 10 TO 30 CM",,,,,,,,,1295750495,ein,04-3170333,fee schedule,1333.1,12/31/9999,11,professional
303605,ffs,"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, 10 TO 30 CM",CPT,2022,14041,"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, 10 TO 30 CM",,,,,,,,,1831288307,ein,05-0474219,fee schedule,1122.26,12/31/9999,11,professional
311208,ffs,SURGICAL PREP OR CREATION OF RECIPIENT SITE BY EXCISION OF OPE,CPT,2022,15002,SURGICAL PREP OR CREATION OF RECIPIENT SITE BY EXCISION OF OPE,,,,,,,,,1417946898,npi,1417946898,fee schedule,431.78,12/31/9999,11,professional
311475,ffs,SURGICAL PREP OR CREATION OF RECIPIENT SITE BY EXCISION OF OPE,CPT,2022,15004,SURGICAL PREP OR CREATION OF RECIPIENT SITE BY EXCISION OF OPE,,,,,,,,,1144872060,npi,1144872060,fee schedule,415.68,12/31/9999,11,professional
310200,ffs,"SPLIT GRAFT, TRUNK/SCALP/ARMS/LEGS/ETC. UP TO 100 CM/1% BODY",CPT,2022,15040,"SPLIT GRAFT, TRUNK/SCALP/ARMS/LEGS/ETC. UP TO 100 CM/1% BODY",,,,,,,,,1053603522,ein,22-2768204,fee schedule,510.68,12/31/9999,11,professional
310329,ffs,"SPLIT GRAFT, TRUNK/SCALP/ARMS/LEGS/ETC. UP TO 100 CM/1% BODY",CPT,2022,15100,"SPLIT GRAFT, TRUNK/SCALP/ARMS/LEGS/ETC. UP TO 100 CM/1% BODY",,,,,,,,,1376772665,npi,1376772665,fee schedule,1067.01,12/31/9999,11,professional
319811,ffs,"TISSUE CULTURED SKIN AUTOGRAFT,FACE,SCALP,EYELIDS,MOUTH,NECK,E",CPT,2022,15155,"TISSUE CULTURED SKIN AUTOGRAFT,FACE,SCALP,EYELIDS,MOUTH,NECK,E",,,,,,,,,1003175910,ein,04-3067465,fee schedule,1245.42,12/31/9999,11,professional
320271,ffs,"TISSUE CULTURED SKIN AUTOGRAFT,FACE,SCALP,EYELIDS,MOUTH,NECK,E",CPT,2022,15156,"TISSUE CULTURED SKIN AUTOGRAFT,FACE,SCALP,EYELIDS,MOUTH,NECK,E",,,,,,,,,1902266042,ein,04-2807148,fee schedule,332.2,12/31/9999,11,professional
320501,ffs,"TISSUE CULTURED SKIN AUTOGRAFT,FACE,SCALP,EYELIDS,MOUTH,NECK,E",CPT,2022,15157,"TISSUE CULTURED SKIN AUTOGRAFT,FACE,SCALP,EYELIDS,MOUTH,NECK,E",,,,,,,,,1487856746,ein,04-2704683,fee schedule,308.07,12/31/9999,11,professional
322816,ffs,ASSIST,CPT,2022,15783,ASSIST,,,,,,,,,1801386826,npi,1801386826,fee schedule,555.13,12/31/9999,11,professional
337668,ffs,"EXCISION, EXCESSIVE SKIN AND SUBCUTANEOUS TISSUE (INCL LIPECTO",CPT,2022,15830,"EXCISION, EXCESSIVE SKIN AND SUBCUTANEOUS TISSUE (INCL LIPECTO",,,,,,,,,1184608358,ein,04-2810972,fee schedule,1464.24,12/31/9999,11,professional
337897,ffs,"EXCISION, EXCESSIVE SKIN AND SUBCUTANEOUS TISSUE (INCL LIPECTO",CPT,2022,15847,"EXCISION, EXCESSIVE SKIN AND SUBCUTANEOUS TISSUE (INCL LIPECTO",,,,,,,,,1518989367,npi,1518989367,fee schedule,587.08,12/31/9999,11,professional
355800,ffs,"MOHS MICROGRAPHIC TECHNIQUE, INCL REMOVAL OF ALL GROSS TUMOR,",CPT,2022,17311,"MOHS MICROGRAPHIC TECHNIQUE, INCL REMOVAL OF ALL GROSS TUMOR,",,,,,,,,,1013099472,ein,04-2263040,fee schedule,1209.08,12/31/9999,11,professional
